Name,Disabled,Locked,Fuel Incentive,Location ID,Card IDs,Address,City,ST,Postal Code,EW Hwy,EW Exit,NS Hwy,NS Exit,Retail Price,Retail Date,Rack Price,Freight,State Tax,Fed Tax,Est Cost,Spread,OOR Range,OOR Fill,Min Pur,Min Pur Type,Stop Type,Swap Type,Rack ID,Latitude,Longitude,Trimble_POI_Name,Contain,Trimble_MAPS_StreetAddress,Trimble_MAPS_City,Trimble_MAPS_State,Trimble_MAPS_PostalCode,Heartland,TM,Delta Between Trimble MAPS POI and Heartland Coordinates
Love's #652                   ,      No,    No,0,529210,CL083                                                  ,100 Marguerite St             ,Williams       ,CA,95987,       ,    ,I0005  ,578,3.749,8/16/2019,2.2469,0.027,0.7026,0.244,3.2205,0.528,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,39.1651,122.1392, NOT FOUND, False,Margurite Street,Williams,CA,95987,"39.1651,-122.1392","34.247585,-77.942662",2445.71
Love's #749                   ,      No,    No,0,529545,CL087                                                  ,551 W Main St                 ,Calipatria     ,CA,92233,S0086  ,    ,       ,    ,3.689,8/16/2019,2.2915,0.0215,0.7279,0.244,3.2849,0.404,0,No  ,0,       ,Retail  ,         ,    ,33.0377,115.6271, NOT FOUND, False,"501 West Main Street  (CA-78, CA-86)",Westmorland,CA,92281,"33.0377,-115.6271","34.247706,-77.942677",2155.371
Pilot TC #154                 ,      No,    No,0,516076,CA223                                                  ,14808 Warren Street           ,Lost Hills     ,CA,93249,S0046  ,    ,I0005  ,278,3.959,8/16/2019,2.2418,0.0683,0.7166,0.244,3.2707,0.688,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,35.6147,119.6592, @Pilot Travel Center #154, True,14827 Warren Street,Lost Hills,CA,93249,"35.6147,-119.6592","33.593493,-86.121251",1901.946
Flying J #830                 ,      No,    No,0,232041,BC427                                                  ,1725 Alaska Ave               ,Dawson Creek   ,BC,V1G1P5,       ,    ,S0049  ,    ,3.7467,8/15/2019,2.1029,0.15,0.3475,0.1136,2.714,1.033,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,55.7655,120.2514, NOT FOUND, False,Alaska Avenue  (BC-2),Dawson Creek,BC,V1G 1P5,"55.7655,-120.2514","33.900151,-96.957688",1873.01
Flying J #555                 ,      No,    No,0,518209,PA440                                                  ,1460 Ridge Rd                 ,Milton         ,PA,17847,I0080  ,215,       ,    ,3.499,8/16/2019,1.9038,0.038,0.741,0.244,2.9268,0.572,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,40.9673,76.7846, NOT FOUND, False,2000 Ridge Road,Milton,PA,17847,"40.9673,-76.7846","38.790851,-112.076686",1863.317
Flying J #801                 ,      No,    No,0,232019,BC344                                                  ,4869 Continental Way          ,Prince George  ,BC,V2N5S5,       ,    ,S0097  ,    ,3.6331,8/16/2019,2.2534,0.0136,0.3481,0.1136,2.7287,0.904,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,53.8769,122.7354, NOT FOUND, False,Terminal Boulevard,Prince George,BC,,"53.8769,-122.7354","33.89993,-96.958332",1863.098
Pilot TC #1200                ,      No,    No,0,528570,AB201                                                  ,3806 Highway St               ,Valleyview     ,AB,T0H3N0,       ,    ,S0043  ,    ,3.7467,8/15/2019,2.1029,0.0923,0.1686,0.1136,2.4774,1.269,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,55.0516,117.2823, NOT FOUND, False,3804 Highway Street,Valleyview,AB,,"55.0516,-117.2823","32.641911,-96.779346",1838.661
Flying J #797                 ,      No,    No,0,232018,AB341                                                  ,Hwy-49 and Hwy-2              ,Rycroft        ,AB,T0H3A0,       ,    ,S0049  ,    ,3.4061,8/15/2019,2.1029,0.1633,0.1699,0.1136,2.5497,0.856,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,55.7584,118.7009, NOT FOUND, False,AB-2,Rycroft,AB,,"55.7584,-118.7009","33.899928,-96.958425",1830.215
Flying J #109                 ,      No,    No,0,518852,UT652                                                  ,350 North Vernal Avenue       ,Vernal         ,UT,84078,       ,    ,U0191  ,    ,3.499,8/16/2019,2.09,0.0965,0.3065,0.244,2.737,0.762,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,40.4609,109.5292, NOT FOUND, False,349 North Vernal Avenue  (US-191 Scenic),Vernal,UT,84078,"40.4609,-109.5292","28.374319,-80.801984",1825.286
Flying J #820                 ,      No,    No,0,232010,AB418                                                  ,9212 108 St                   ,Grande Prairie ,AB,T8V4C9,S0040  ,    ,       ,    ,3.4087,8/16/2019,2.0801,0.1034,0.1684,0.1136,2.4655,0.943,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,55.1629,118.8212, NOT FOUND, False,8936 108 Street  (AB-40),Grande Prairie,AB,T8V 4C8,"55.1629,-118.8212","33.900096,-96.957903",1803.947
Flying J #516                 ,      No,    No,0,516323,PA332                                                  ,167 Post House Rd             ,Breezewood     ,PA,15533,I0076  ,161,       ,    ,3.499,8/16/2019,1.8973,0.052,0.741,0.244,2.9343,0.565,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,39.9974,78.2381, @All American #516, True,Post House Road  (Route T503),Breezewood,PA,15533,"39.9974,-78.2381","38.790891,-112.076608",1796.654
Love's #012                   ,      No,    No,0,516709,516709,308 East 1st St               ,La Junta       ,CO,81050,U0050  ,    ,       ,    ,0,6/17/2019,1.9569,0.0203,0.2144,0.244,2.4356,0,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,37.9887,103.5393, NOT FOUND, False,299 East 1st Street  (US-50),La Junta,CO,81050,"37.9887,-103.5393","42.458553,-71.17316",1723.189
Flying J #819                 ,      No,    No,0,232011,AB417                                                  ,345 Sakitawaw Trl             ,Fort McMurray  ,AB,T9H5E7,       ,    ,S0063  ,    ,3.4058,8/15/2019,2.1029,0.1855,0.1703,0.1136,2.5723,0.834,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,56.6812,111.3511, NOT FOUND, False,280 Parent Way,Fort McMurray,AB,T9H 2R1,"56.6812,-111.3511","33.899989,-96.957912",1713.279
Flying J #549                 ,      No,    No,0,520422,NC122                                                  ,125 Plaza Ln                  ,Mount Airy     ,NC,27030,       ,    ,I0077  ,100,3.099,8/16/2019,1.8644,0.051,0.3645,0.244,2.5239,0.575,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,36.4865,80.7461, @Flying J US Dealer #549, True,133 Plaza Lane,Mount Airy,NC,27030,"36.4865,-80.7461","38.790857,-112.076674",1712.035
Flying J #798                 ,      No,    No,0,232068,BC341                                                  ,1295 Cliveden Ave             ,Delta          ,BC,V3M6M3,       ,    ,S0091  ,10,3.8603,8/16/2019,2.1958,0.0227,0.471,0.1136,2.8031,1.057,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,49.1696,122.9557, NOT FOUND, False,Cliveden Avenue,Delta,BC,V3M 6C7,"49.1696,-122.9557","33.900031,-96.95839",1693.316
Flying J #832                 ,      No,    No,0,232049,BC429                                                  ,24 Braid St                   ,New Westminster,BC,V3L3P3,       ,    ,S0001  ,    ,3.8603,8/15/2019,2.2128,0.0213,0.4717,0.1136,2.8194,1.041,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,49.2287,122.8767, NOT FOUND, False,17 Braid Street,Maillardville,BC,,"49.2287,-122.8767","33.900165,-96.957645",1692.189
Flying J #817                 ,      No,    No,0,232038,AB415                                                  ,294 Kelley Rd                 ,Hinton         ,AB,T7V1H2,S0016  ,    ,       ,    ,0,4/17/2019,2.4244,0.0748,0.2544,0.1134,2.867,0,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,53.405,117.5853, NOT FOUND, False,305 Kelley Road,Hinton,AB,T7V 1H2,"53.405,-117.5853","33.899979,-96.957957",1682.761
Flying J #824                 ,      No,    No,0,232015,AB422                                                  ,5329 Govenlock Mountain Rd    ,Whitecourt     ,AB,T7S1G6,       ,    ,S0043  ,    ,3.3774,8/16/2019,2.0801,0.071,0.1679,0.1136,2.4326,0.945,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,54.1369,115.6953, @Flying J Fuel Stop #824, True,Govenlock Road,Whitecourt,AB,,"54.1369,-115.6953","33.900116,-96.957813",1667.268
Flying J #827                 ,      No,    No,0,232021,BC424                                                  ,929 Coutts Way                ,Abbotsford     ,BC,V2S7M2,       ,    ,S0001  ,92,3.6899,8/16/2019,2.1958,0.0273,0.3462,0.1136,2.6829,1.007,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,49.0198,122.2665, @Flying J Cardlock #827, True,1013 Coutts Way,Abbotsford,BC,V2S 7M2,"49.0198,-122.2665","33.900032,-96.957729",1661.088
Flying J #818                 ,      No,    No,0,232072,AB416                                                  ,2520 2 Ave                    ,Edson          ,AB,T7E1N9,S0016  ,    ,       ,    ,3.4058,8/15/2019,2.1029,0.0602,0.1681,0.1136,2.4448,0.961,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,53.5821,116.4248, NOT FOUND, False,48 Street,Edson,AB,T7E 1C1,"53.5821,-116.4248","33.900086,-96.957947",1658.461
Flying J #799                 ,      No,    No,0,232022,BC342                                                  ,7970 Lickman Road             ,Chilliwack     ,BC,V2R3Z9,       ,    ,S0001  ,    ,3.6331,8/16/2019,2.1958,0.0335,0.3465,0.1136,2.6894,0.944,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,49.1443,122.0069, NOT FOUND, False,Lickman Road,Chilliwack,BC,,"49.1443,-122.0069","33.899929,-96.958378",1655.154
Love's #10                    ,      No,    No,0,516707,OK136                                                  ,408 E Broadway St             ,Hollis         ,OK,73550,U0062  ,    ,       ,    ,0,6/25/2019,2.0109,0.0686,0.2,0.244,2.5235,0,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,34.6821,99.9145, NOT FOUND, False,410 East Broadway Street  (US-62),Hollis,OK,73550,"34.6821,-99.9145","42.45909,-71.172488",1632.532
Flying J #815                 ,      No,    No,0,232014,AB413                                                  ,5505 Jubilee Ave              ,Drayton Valley ,AB,T7A1S3,S0022  ,    ,       ,    ,3.4058,8/15/2019,2.1029,0.0679,0.1682,0.1136,2.4526,0.953,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,53.2266,114.987, NOT FOUND, False,5520 Jubilee Avenue,Drayton Valley,AB,,"53.2266,-114.987","33.899969,-96.958002",1600.733
Flying J #463                 ,      No,    No,0,231973,ON054                                                  ,5906 Oil Heritage Road        ,Wyoming        ,ON,N0N1T0,S0402  ,    ,       ,    ,3.5195,8/16/2019,1.9841,0.0185,0.2936,0.1136,2.4098,1.11,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,42.9835,82.1175, NOT FOUND, False,5882 Oil Heritage Road,Wyoming,ON,N0N 1T0,"42.9835,-82.1175","38.790586,-112.077382",1581.727
Flying J #795                 ,      No,    No,0,232013,AB339                                                  ,302 20 Ave                    ,Nisku          ,AB,T9E7Z9,S0002  ,    ,       ,    ,3.2922,8/16/2019,2.0801,0.0213,0.167,0.1136,2.382,0.91,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,53.3381,113.544, NOT FOUND, False,25122 Township Road 504  (AB-625),Nisku,AB,,"53.3381,-113.544","33.899927,-96.95847",1568.963
Love's #115                   ,      No,    No,0,526796,526796,115 Harrison Ave              ,Buena Vista    ,CO,81211,       ,    ,U0285  ,    ,3.099,8/14/2019,1.9841,0.0637,0.2144,0.244,2.5062,0.593,0,No  ,0,       ,Retail  ,         ,    ,38.8507,106.1401, NOT FOUND, False,Harrison Avenue,Buena Vista,CO,81211,"38.8507,-106.1401","45.125675,-76.621976",1565.834
Pilot TC #896                 ,      No,    No,0,516888,NH224                                                  ,728 Route 3a                  ,Bow            ,NH,3304,       ,    ,I0093  ,11,3.259,8/16/2019,1.9899,0.062,0.2383,0.244,2.5342,0.725,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,43.1221,71.4799, @Pilot Dealer #896, True,742 NH-3 A,BOW,NH,3304,"43.1221,-71.4799","32.641911,-96.779346",1548.496
Pilot TC #1057                ,      No,    No,0,231980,TE320                                                  ,1305 E Pasadena Fwy           ,Pasadena       ,TX,77506,       ,    ,S0225  ,    ,2.839,8/16/2019,1.8856,0.023,0.2009,0.244,2.3535,0.485,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,29.7084,95.2278, NOT FOUND, False,1401 West Pasadena Freeway  (TX-225 Service West),Pasadena,TX,77506,"29.7084,-95.2278","42.065268,-72.108756",1541.405
Flying J #965                 ,      No,    No,0,231701,WA127                                                  ,2300 Canyon Rd                ,Ellensburg     ,WA,98926,I0090  ,109,U0097  ,    ,3.499,8/16/2019,1.9472,0.144,0.5212,0.244,2.8564,0.643,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,46.9707,120.5384, @Flying J DLR - Broadway #965, True,2300 Canyon Road,Ellensburg,WA,98926,"46.9707,-120.5384","33.900891,-96.954703",1523.183
Flying J #796                 ,      No,    No,0,232085,AB340                                                  ,68 Ave                        ,Red Deer       ,AB,T4P1A4,S0002  ,    ,       ,    ,3.2922,8/16/2019,2.0801,0.0381,0.1673,0.1136,2.3991,0.893,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,52.2913,113.8491, NOT FOUND, False,Johnstone Drive,Red Deer,AB,,"52.2913,-113.8491","33.900029,-96.958436",1520.722
Pilot TC #882                 ,      No,    No,0,516876,CT273                                                  ,273 Clarks Falls Rd           ,North Stoningto,CT,6359,S0216  ,    ,I0095  ,93,3.259,8/16/2019,1.8961,0.0745,0.4662,0.244,2.6808,0.578,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,41.4423,71.8012, @Pilot Dealer #882, True,273 Clarks Falls Road  (CT-216),North Stonington,CT,6359,"41.4423,-71.8012","32.641911,-96.779346",1497.721
Pilot TC #1197                ,      No,    No,0,232184,BC133                                                  ,1950 Bc-3                     ,Jaffray        ,BC,V0B1T0,       ,    ,S0003  ,    ,3.8319,8/15/2019,2.1938,0.1378,0.2933,0.1136,2.7385,1.093,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,49.3002,115.1159, NOT FOUND, False,Crowsnest Highway  (BC-3),Elko,BC,,"49.3002,-115.1159","32.641911,-96.779346",1487.383
Flying J #822                 ,      No,    No,0,232017,AB420                                                  ,5109 63 Ave                   ,Lloydminster   ,AB,T9V2E7,S0016  ,    ,       ,    ,3.2922,8/15/2019,2.1029,0.0969,0.1687,0.1136,2.4821,0.81,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,53.2769,110.0368, NOT FOUND, False,6303 43 Street,Lloydminster,AB,T9V 2W9,"53.2769,-110.0368","33.900106,-96.957859",1483.803
Flying J #813                 ,      No,    No,0,232008,AB411                                                  ,85 E Lake Cres                ,Airdrie        ,AB,T4B2B5,S0002  ,    ,       ,    ,3.3774,8/15/2019,2.1938,0.0227,0.169,0.1136,2.4991,0.878,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,51.2927,113.9987, NOT FOUND, False,85 East Lake Crescent Northeast,Airdrie,AB,T4A 2H6,"51.2927,-113.9987","33.899959,-96.958047",1472.878
Love's #011                   ,      No,    No,0,516708,516708,1221 10th St                  ,Great Bend     ,KS,67530,U0056  ,    ,       ,    ,0,7/30/2019,1.9448,0.0103,0.2603,0.244,2.4594,0,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,38.3614,98.7535, NOT FOUND, False,"1221 10th Street  (US-56, KS-96, KS-156)",Great Bend,KS,67530,"38.3614,-98.7535","42.458447,-71.17311",1470.537
Love's #760                   ,      No,    No,0,529443,NM057                                                  ,16 Andrews Hwy                ,Eunice         ,NM,88231,S0234  ,    ,       ,    ,2.899,8/16/2019,1.9144,0.075,0.2288,0.244,2.4622,0.437,0,No  ,0,       ,Retail  ,         ,    ,32.4348,103.1198, NOT FOUND, False,"Andrews Highway  (NM-176, NM-234)",Eunice,NM,88231,"32.4348,-103.1198","34.24772,-77.942679",1453.962
Flying J #829                 ,      No,    No,0,232045,BC426                                                  ,1411 Northwest Blvd           ,Creston        ,BC,V0B1G6,       ,    ,S0003  ,    ,3.8035,8/15/2019,2.1938,0.1216,0.3501,0.1136,2.7791,1.024,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,49.1125,116.5237, NOT FOUND, False,1411 Northwest Boulevard  (BC-3),Creston,BC,V0B 1G6,"49.1125,-116.5237","33.900046,-96.957685",1449.91
Pilot TC #879                 ,      No,    No,0,516874,CA352                                                  ,2828 El Centro Rd             ,Sacramento     ,CA,95833,I0080  ,85,I0005  ,522,4.159,8/16/2019,2.2616,0.0652,0.7318,0.244,3.3026,0.856,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,38.618,121.5394, NOT FOUND, False,2828 El Centro Road,Sacramento,CA,95833,"38.618,-121.5394","32.641911,-96.779346",1444.429
Flying J #970                 ,      No,    No,0,231703,WA251                                                  ,2216 E Hillsboro St           ,Pasco          ,WA,99301,       ,    ,U0395  ,    ,3.479,8/16/2019,2.0474,0.0872,0.5212,0.244,2.8998,0.579,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,46.2627,119.0833, @Flying J DLR - Broadway #970, True,2216 East Hillsboro Street,Pasco,WA,99301,"46.2627,-119.0833","33.90102,-96.954637",1439.264
Flying J #963                 ,      No,    No,0,231705,WA129                                                  ,3709 S Geiger Blvd            ,Spokane        ,WA,99224,I0090  ,276,       ,    ,3.499,8/16/2019,1.9574,0.0832,0.5212,0.244,2.8058,0.693,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,47.6209,117.5072, @Flying J DLR - Broadway #963, True,3789 South Geiger Boulevard,Spokane,WA,99224,"47.6209,-117.5072","33.900877,-96.954746",1424.628
Pilot TC #1017                ,      No,    No,0,524895,CL026                                                  ,345 Roth Rd                   ,French Camp    ,CA,95330,       ,    ,I0005  ,465,3.959,8/16/2019,2.2475,0.0475,0.7531,0.244,3.2921,0.667,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,37.8556,121.2751, NOT FOUND, False,357 East Roth Road,French Camp,CA,95231,"37.8556,-121.2751","32.641911,-96.779346",1422.803
Flying J #967                 ,      No,    No,0,231704,WA130                                                  ,6606 E Broadway Ave           ,Spokane Valley ,WA,99212,I0090  ,286,       ,    ,3.499,8/16/2019,1.9574,0.0832,0.5212,0.244,2.8058,0.693,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,47.6637,117.3162, @Flying J DLR - Broadway #967, True,6582 East Broadway Avenue,Spokane,WA,99212,"47.6637,-117.3162","33.900906,-96.954661",1418.972
Flying J #869                 ,      No,    No,0,517939,AB275                                                  ,2810 21 Ave                   ,Nanton         ,AB,T0L1R0,S0002  ,    ,       ,    ,3.4626,8/16/2019,2.171,0.0244,0.1686,0.1136,2.4776,0.985,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,50.3475,113.7729, NOT FOUND, False,Avenue 21  (AB-2),Midnapore,AB,,"50.3475,-113.7729","33.900293,-96.956812",1418.168
Pilot TC #922                 ,      No,    No,0,516368,MT667                                                  ,6102 US -2 W                  ,Columbia Falls ,MT,59912,U0002  ,    ,       ,    ,2.859,8/16/2019,1.9878,0.0606,0.302,0.244,2.5944,0.265,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,48.3706,114.2409, NOT FOUND, False,Lasalle Road  (US-2),Columbia Falls,MT,59912,"48.3706,-114.2409","32.641911,-96.779346",1414.255
Pilot TC #1080                ,      No,    No,0,524253,CL012                                                  ,2275 Sperry Ave               ,Patterson      ,CA,95363,       ,    ,I0005  ,434,3.899,8/16/2019,2.2475,0.045,0.7305,0.244,3.267,0.632,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,37.4645,121.1669, NOT FOUND, False,2300 Sperry Avenue  (Route J17),Patterson,CA,95363,"37.4645,-121.1669","32.641911,-96.779346",1413.747
Pilot TC #911                 ,      No,    No,0,516359,MT181                                                  ,403 Diamond Road              ,Superior       ,MT,59872,I0090  ,47,       ,    ,2.819,8/16/2019,1.9878,0.0362,0.302,0.244,2.57,0.249,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,47.1741,114.8669, NOT FOUND, False,2360 Diamond Road  (MT-257),Superior,MT,59872,"47.1741,-114.8669","32.641911,-96.779346",1380.616
Flying J #934                 ,      No,    No,0,231706,OR500                                                  ,63276 Oregon Hwy 203          ,La Grande      ,OR,97850,I0084  ,265,       ,    ,2.659,8/16/2019,2.0484,0.096,0.0269,0.244,2.4153,0.244,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,45.2844,118.0217, NOT FOUND, False,59986 La Grande-Baker Highway  (OR-203),La Grande,OR,97850,"45.2844,-118.0217","33.900776,-96.955411",1362.253
Pilot TC #880                 ,      No,    No,0,516887,NJ861                                                  ,15 Rt-23                      ,Port Jervis    ,NJ,7827,I0084  ,1,       ,    ,3.459,8/16/2019,1.9294,0.0679,0.4856,0.244,2.7269,0.732,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,41.3499,74.6865, NOT FOUND, False,15 NJ-23,Montague,NJ,7827,"41.3499,-74.6865","32.641911,-96.779346",1353.293
Pilot TC #909                 ,      No,    No,0,516357,MT173                                                  ,1350 Roosevelt Hwy            ,Shelby         ,MT,59474,U0002  ,    ,I0015  ,363,2.859,8/16/2019,1.9252,0.0467,0.302,0.244,2.5179,0.341,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,48.5125,111.8707, NOT FOUND, False,"1236 Roosevelt Highway  (US-2, I-15 Business)",Shelby,MT,59474,"48.5125,-111.8707","32.641911,-96.779346",1346.389
Pilot TC #914                 ,      No,    No,0,517687,MT598                                                  ,8745 US  Highway 93 N         ,Missoula       ,MT,59808,I0090  ,96,U0093  ,    ,2.369,8/16/2019,1.9878,0.0164,0.302,0.244,2.5502,0,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,46.9556,114.1328, @Town Pump #914, True,"8799 US-93, MT-200",Missoula,MT,59808,"46.9556,-114.1328","32.641911,-96.779346",1344.587
Pilot TC #891                 ,      No,    No,0,520790,NJ252                                                  ,1470 Rt 46 E                  ,Ledgewood      ,NJ,7852,I0080  ,27,       ,    ,3.699,8/16/2019,1.8433,0.0695,0.4856,0.244,2.6424,1.057,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,40.9021,74.7053, NOT FOUND, False,18 Main Street,Stanhope,NJ,7874,"40.9021,-74.7053","32.641911,-96.779346",1342.475
Pilot TC #916                 ,      No,    No,0,516363,MT182                                                  ,11882 Us Highway 93 S         ,Lolo           ,MT,59847,I0090  ,206,U0093  ,    ,2.869,8/16/2019,1.9878,0.0208,0.302,0.244,2.5546,0.314,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,46.7571,114.082, NOT FOUND, False,"US-12, US-93",Lolo,MT,59847,"46.7571,-114.082","32.641911,-96.779346",1333.792
Flying J #826                 ,      No,    No,0,232035,AB424                                                  ,115 Lockwood St. Ne           ,Redcliff       ,AB,T0J2P0,       ,    ,S0001  ,    ,3.349,8/16/2019,2.171,0.0815,0.1697,0.1136,2.5358,0.813,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,50.0797,110.7732, NOT FOUND, False,1008 Highway Avenue Northeast,Redcliff,AB,T0J 2P0,"50.0797,-110.7732","33.900126,-96.957769",1318.37
Pilot TC #1071                ,      No,    No,0,231991,CL084                                                  ,979 E Paige Ave               ,Tulare         ,CA,93274,       ,    ,S0099  ,85,3.859,8/16/2019,2.2418,0.0263,0.7365,0.244,3.2486,0.61,0,No  ,0,       ,Retail  ,         ,    ,36.1802,119.3334, NOT FOUND, False,2997 South Blackstone Street,Tulare,CA,93274,"36.1802,-119.3334","32.641911,-96.779346",1304.675
Flying J #806                 ,      No,    No,0,232024,ON347                                                  ,Hwy-11                        ,Kapuskasing    ,ON,P5N2X7,       ,    ,S0011  ,    ,3.7183,8/16/2019,2.0665,0.1486,0.3033,0.1136,2.632,1.086,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,49.4126,82.4281, NOT FOUND, False,Trans-Canada Highway  (ON-11),Kapuskasing,ON,,"49.4126,-82.4281","33.900035,-96.958207",1302.359
Love's #767                   ,      No,    No,0,529702,TE656                                                  ,3400 Nafta Pkwy               ,Brownsville    ,TX,78521,       ,    ,S0511  ,    ,2.749,8/16/2019,1.8793,0.105,0.2007,0.244,2.429,0.32,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,25.9529,97.4184, NOT FOUND, False,Nafta Parkway,Brownsville,TX,78521,"25.9529,-97.4184","34.247729,-77.94268",1293.618
Flying J #864                 ,      No,    No,0,232090,SK070                                                  ,Hwy 11                        ,Davidson       ,SK,S0G1A0,       ,    ,S0011  ,    ,3.4626,8/16/2019,2.0915,0.0327,0.2411,0.1136,2.4789,0.984,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,51.2708,105.9945, NOT FOUND, False,SK-11,Davidson,SK,,"51.2708,-105.9945","33.900366,-96.956946",1282.042
Pilot TC #917                 ,      No,    No,0,516364,MT460                                                  ,3100 Tri-Hill Frontage Road   ,Great Falls    ,MT,59404,       ,    ,I0015  ,277,2.879,8/16/2019,1.9252,0.0156,0.302,0.244,2.4868,0.392,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,47.4693,111.3643, NOT FOUND, False,3928 Byrne Trail,Great Falls,MT,59404,"47.4693,-111.3643","32.641911,-96.779346",1276.933
Pilot TC #875                 ,      No,    No,0,516791,MD542                                                  ,221 Belle Hill Rd             ,Elkton         ,MD,21921,       ,    ,I0095  ,109A,3.599,8/16/2019,1.8598,0.0495,0.3764,0.244,2.5297,1.069,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,39.6363,75.8086, NOT FOUND, False,203 Belle Hill Road,Elkton,MD,21921,"39.6363,-75.8086","32.641911,-96.779346",1261.291
Flying J #108                 ,      No,    No,0,518851,UT651                                                  ,1521 South 1500               ,East Vernal    ,UT,84078,U0040  ,    ,       ,    ,3.499,8/15/2019,2.0946,0.0965,0.3065,0.244,2.7416,0.757,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,40.4334,109.4986, NOT FOUND, False,1534 East 1500 South,Vernal,UT,84078,"40.4334,-109.4986","40.554309,-85.553925",1253.43
Pilot TC #871                 ,      No,    No,0,520883,PA103                                                  ,473 Suedberg Rd               ,Pine Grove     ,PA,17963,       ,    ,I0081  ,100,3.459,8/16/2019,1.8707,0.035,0.741,0.244,2.8907,0.568,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,40.534,76.4319, @Pilot Dealer #522, True,Suedberg Road  (PA-443),Pine Grove,PA,17963,"40.534,-76.4319","32.641911,-96.779346",1248.744
Pilot TC #522                 ,      No,    No,0,516779,PA152                                                  ,489 Suedberg Rd               ,Pine Grove     ,PA,17963,       ,    ,I0081  ,100,3.459,8/16/2019,1.8707,0.035,0.741,0.244,2.8907,0.568,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,40.5336,76.4329, NOT FOUND, False,503 Suedberg Road  (PA-443),Pine Grove,PA,17963,"40.5336,-76.4329","32.641911,-96.779346",1248.685
Pilot TC #908                 ,      No,    No,0,516356,MT171                                                  ,1000 Grizzly Trail            ,Butte          ,MT,59701,I0090  ,122,I0015  ,    ,2.869,8/16/2019,2.0293,0.0394,0.302,0.244,2.6147,0.254,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,46.0032,112.6063, NOT FOUND, False,1231 Grizzly Trail,Butte,MT,59701,"46.0032,-112.6063","32.641911,-96.779346",1246.655
