Name,Disabled,Locked,Fuel Incentive,Location ID,Card IDs,Address,City,ST,Postal Code,EW Hwy,EW Exit,NS Hwy,NS Exit,Retail Price,Retail Date,Rack Price,Freight,State Tax,Fed Tax,Est Cost,Spread,OOR Range,OOR Fill,Min Pur,Min Pur Type,Stop Type,Swap Type,Rack ID,Latitude,Longitude,Trimble_POI_Name,Contain,Trimble_MAPS_StreetAddress,Trimble_MAPS_City,Trimble_MAPS_State,Trimble_MAPS_PostalCode,Heartland,TM,Delta Between Trimble MAPS POI and Heartland Coordinates
Pilot TC #519                 ,      No,    No,0,516776,MS555                                                  ,510 East Main St              ,Senatobia      ,MS,38668,S0004  ,    ,I0055  ,265,2.899,8/16/2019,1.8947,0.037,0.1845,0.244,2.3602,0.539,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,34.6196,89.953, @The Pantry #519, True,524 East Main Street  (MS-4),Senatobia,MS,38668,"34.6196,-89.953","32.641911,-96.779346",415.415
Pilot TC #1146                ,      No,    No,0,527110,TE542                                                  ,2500 S Bickley Ave            ,Pecos          ,TX,79772,I0020  ,39,       ,    ,2.959,8/16/2019,2.072,0.0907,0.2009,0.244,2.6076,0.351,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,31.4081,103.5197, NOT FOUND, False,South Bickley Avenue  (TX-17),Pecos,TX,79772,"31.4081,-103.5197","32.641911,-96.779346",403.587
Pilot TC #8605                ,      No,    No,0,522230,NM094                                                  ,1210 W Ave O                  ,Eunice         ,NM,88231,S0176  ,    ,       ,    ,3.159,8/15/2019,2.336,0.092,0.2288,0.244,2.9008,0.258,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,32.4429,103.1604, NOT FOUND, False,1368 Avenue O  (NM-176),Eunice,NM,88231,"32.4429,-103.1604","32.641911,-96.779346",371.614
Pilot TC #1206                ,      No,    No,0,231992,231992,700 Tx-302                    ,Kermit         ,TX,79745,S0302  ,    ,       ,    ,3.359,8/16/2019,2.072,0.08,0.2009,0.244,2.5969,0.762,0,No  ,0,       ,Retail  ,         ,    ,31.8525,103.0682, NOT FOUND, False,606 Jim Sharp Boulevard  (TX-302),Kermit,TX,79745,"31.8525,-103.0682","32.641911,-96.779346",371.212
Pilot TC #8658                ,      No,    No,0,521836,NM034                                                  ,3513 NW County Road           ,Hobbs          ,NM,88240,U0180  ,    ,       ,    ,3.259,8/15/2019,2.336,0.0641,0.2288,0.244,2.8729,0.386,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,32.739,103.164, NOT FOUND, False,Northwest County Road,Hobbs,NM,88240,"32.739,-103.164","32.641911,-96.779346",371.015
Pilot TC #8604                ,      No,    No,0,521961,NM863                                                  ,1200 W Broadway St            ,Hobbs          ,NM,88240,U0180  ,    ,       ,    ,3.259,8/15/2019,2.336,0.0641,0.2288,0.244,2.8729,0.386,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,32.7005,103.1501, NOT FOUND, False,1130 West Broadway Place,Hobbs,NM,88240,"32.7005,-103.1501","32.641911,-96.779346",370.25
Pilot TC #1061                ,      No,    No,0,231981,MO412                                                  ,4939 West Chestnut Expressway ,Springfield    ,MO,65802,I0044  ,72,       ,    ,2.839,8/16/2019,1.9164,0.025,0.1742,0.244,2.3596,0.479,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,37.2125,93.3811, NOT FOUND, False,4972 West Chestnut Expressway  (I-44 Loop),Springfield,MO,65802,"37.2125,-93.3811","32.641911,-96.779346",369.526
Pilot TC #1205                ,      No,    No,0,529423,529423,4840 E I-20                   ,Monahans       ,TX,79756,I0020  ,80,       ,    ,2.959,8/16/2019,2.072,0.07,0.2009,0.244,2.5869,0.372,0,No  ,0,       ,Retail  ,         ,    ,31.5764,102.8871, NOT FOUND, False,I-20,Monahans,TX,79756,"31.5764,-102.8871","32.641911,-96.779346",364.653
Pilot TC #894                 ,      No,    No,0,521385,TE076                                                  ,3002 US 57                    ,Eagle Pass     ,TX,78852,       ,    ,U0057  ,    ,3.059,8/16/2019,1.9293,0.0835,0.2009,0.244,2.4577,0.601,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,28.7098,100.4642, @Pilot Dealer #894, True,3008 US-57,Eagle Pass,TX,78852,"28.7098,-100.4642","32.641911,-96.779346",348.645
Pilot TC #8612                ,      No,    No,0,522233,TE222                                                  ,803 Hobbs Hwy                 ,Seminole       ,TX,79360,U0062  ,    ,       ,    ,3.059,8/15/2019,2.0957,0.0808,0.2009,0.244,2.6214,0.438,0,No  ,0,Gallons,Retail  ,Fuel Only,    ,32.7203,102.6562, NOT FOUND, False,Northwest 10th Street,Seminole,TX,79360,"32.7203,-102.6562","32.641911,-96.779346",341.538
