Trimble_MAPS_StreetAddress,Trimble_MAPS_City,Trimble_MAPS_State,Trimble_MAPS_PostalCode
405 West Hill Avenue,Comanche,OK,73529
201 West Main Street  (OK-7 A),Duncan,OK,73533
308 West Choctaw Avenue,Marlow,OK,73055
2776 Cr N  (Route N),Cottage Grove,WI,53527
"Brownfield Highway  (I-44, US-62)",Oklahoma City,OK,73159
"2151 Ripley Street  (US-6, IN-51)",Lake Station,IN,46405
Stevenson Expressway  (I-55),Chicago,IL,60632
1860 East Napier Avenue,Benton Harbor,MI,49022
East Steward Road  (Route 17),Rochelle,IL,61068
"6070 Gardner Street  (US-51, IL-75)",South Beloit,IL,61080
19436 US-20,Hampshire,IL,60140
7500 East Riverside Boulevard  (Route 55),Loves Park,IL,61111
3825 I-94 Business,Mandan,ND,58554
Ridgecrest Drive,Hampshire,IL,60140
83 North Elida Street  (Route 16),Winnebago,IL,61088
"US-63, AR-11",De Valls Bluff,AR,72041
130 East Macon Lane,Seymour,TN,37865
1712 North Summit Street,Arkansas City,KS,67005
East Governor John Sevier Highway  (TN-168),Knoxville,TN,37914
Eagle Drive  (IL-38),Rochelle,IL,61068
1667 East Main Street  (Route 950 North),Greenwood,IN,46143
I-75,Knoxville,TN,37912
24765 SD-79,Hermosa,SD,57744
1675 South Galena Avenue  (IL-26),Dixon,IL,61021
3041 IL-71,Ottawa,IL,61350
12th Street  (US-34),Mendota,IL,61342
2358 Lawnville Road,Kingston,TN,37763
2841 North Main Street  (IL-26),Princeton,IL,61356
Gilbertville Road,Evansdale,IA,50707
960 IN-42,Brazil,IN,47834
1311 Carolyn Drive,Minonk,IL,61760
"303 East Main Street  (US-62 Business, US-75 Business, I-40 Business)",Henryetta,OK,74437
1675 13th Street  (Route 33),Steamboat Springs,CO,80487
6560 Dixie Highway,Bridgeport,MI,48722
Market Street,Champaign,IL,61822
1801 IL-1,Marshall,IL,62441
150 East Southline Road  (US-36),Tuscola,IL,61953
474 East 200 North Road  (US-136),Mc Lean,IL,61754
"Woodlawn Road  (IL-10, IL-121)",Lincoln,IL,62656
503 South McClure Street,Broken Bow,OK,74728
Pine Street  (Link NE-25 B),Big Springs,NE,69122
Camp Butler Road,Springfield,IL,62707
600 Toronto Road  (Route 42),Springfield,IL,62711
714 South Court Street  (IL-1),Grayville,IL,62844
Waverly Road  (Route 10),New Berlin,IL,62670
33500 US-59,Avoca,IA,51521
"2299 US-62, US-641, KY-93",Kuttawa,KY,42055
Bosselman Avenue,Grand Island,NE,68803
848 Hen House Road,Okawville,IL,62271
Broadway Street  (IL-15),Mount Vernon,IL,62864
1020 New Castle Road  (PA-108),Slippery Rock,PA,16057
4500 Kansas Avenue  (KS-32),Kansas City,KS,66106
MO-28,Saint Robert,MO,65584
West Mill Road  (Route 114),Artesia,NM,88210
South Fortuna Road,Yuma,AZ,85367
US-285,Artesia,NM,88210
3172 South Canal Street  (US-285),Carlsbad,NM,88220
442 OH-61,Marengo,OH,43334
524 East Main Street  (MS-4),Senatobia,MS,38668
South Bickley Avenue  (TX-17),Pecos,TX,79772
1368 Avenue O  (NM-176),Eunice,NM,88231
606 Jim Sharp Boulevard  (TX-302),Kermit,TX,79745
Northwest County Road,Hobbs,NM,88240
1130 West Broadway Place,Hobbs,NM,88240
4972 West Chestnut Expressway  (I-44 Loop),Springfield,MO,65802
I-20,Monahans,TX,79756
3008 US-57,Eagle Pass,TX,78852
Northwest 10th Street,Seminole,TX,79360
101 Northwest Mustang Drive,Andrews,TX,79714
North 2nd Street,Crane,TX,79731
3801 West 42nd Street,Odessa,TX,79764
West Highway 80  (I-20),Midland,TX,79706
795 South Grandview Avenue,Odessa,TX,79761
East County Road 101,Midland,TX,79706
TX-158 Business,Midland,TX,79706
2901 TX-86,Tulia,TX,79088
5855 Nittany Valley Drive  (PA-64),Mill Hall,PA,17751
3092 Garden City Highway  (TX-140),Midland,TX,79701
1818 Walnut Street,Ozona,TX,76943
Las Vegas Freeway  (I-15),Sloan,NV,89054
4974 Parkway Road,Big Spring,TX,79720
1169 US-277,Sonora,TX,76950
South 42nd Street,Enid,OK,73701
1100 US-180,Snyder,TX,79549
111 Sheldon Road,Channelview,TX,77530
7413 South Choctaw Road,Choctaw,OK,73020
2627 Sam Wilson Road  (Route 1625),Charlotte,NC,28214
2299 Center Road  (OH-45),Austinburg,OH,44010
5192 South Middlebrook Pike  (TN-169),Knoxville,TN,37921
Hillside Street,Kilgore,TX,75662
I-20 Service West,Canton,TX,75103
"UT-160, I-15 Business",Beaver,UT,84713
West 400 North Street  (US-50),Fillmore,UT,84631
14344 50th Street Northwest  (US-2),Williston,ND,58801
505 US-287,Wiley,CO,81092
E1170 Road,Elk City,OK,73644
5565 Daniel McCall Drive,Lufkin,TX,75904
I-20 Service West,Weatherford,TX,76087
11652 Kentucky Dam Road  (US-62),Calvert City,KY,42029
"East Historic 66  (NM-118, I-40 Business)",Gallup,NM,87301
"US-380, TX-114",Bridgeport,TX,76426
AZ-90,Benson,AZ,85602
US-45 Alternate,West Point,MS,39773
939 Bowdon Street  (GA-100),Tallapoosa,GA,30176
US-190,Port Barre,LA,70577
Earle E Morris Jr Highway  (SC-153),Piedmont,SC,29673
"102 East Jefferson Street  (IN-19, IN-28)",Tipton,IN,46072
785 Mill Road  (OH-97),Bellville,OH,44813
1398 Cherry Blossom Way  (US-62),Georgetown,KY,40324
"US-81 Service North, US-287 Service North",Rhome,TX,76078
996 Birch Avenue,Sherwood Park,AB,T8A 1X5
1620 West Winnemucca Boulevard  (US-95),Winnemucca,NV,89445
1139 South London Delaware Road  (US-42),London,OH,43140
80 L and N Turnpike Road  (KY-335),Munfordville,KY,42765
613 Ring Road  (KY-3005),Elizabethtown,KY,42701
18440 Augusta Drive,Monument,CO,80132
1502 Loop TX-254,Ranger,TX,76470
1169 Ledoux Road,Iowa,LA,70647
1172 East 21st Street,Ogden,UT,84401
2102 I-35 Service North,Sanger,TX,76266
1953 East Pool Road  (I-20 Service West),Odessa,TX,79766
Route 17,Goshen,IN,46528
North Midlothian Parkway,Midlothian,TX,76065
"I-10, US-70, US-180",Las Cruces,NM,88007
"780 AR-95, AR-247",Morrilton,AR,72110
"US-70, US-277, US-281",Randlett,OK,73562
"Main Street  (US-24, US-40, US-287)",Limon,CO,80828
Arnot Road,Amarillo,TX,79119
Centerville Road  (GA-247 Connector),Byron,GA,31008
