Trimble_MAPS_StreetAddress,Trimble_MAPS_City,Trimble_MAPS_State,Trimble_MAPS_PostalCode
671 Northeast 12th Street  (I-20 Service East),Big Spring,TX,79720
1815 North Mecklenburg Avenue  (US-1),La Crosse,VA,23950
1360 Tyson Road  (Route 6),Hope Hull,AL,36043
North Central Expressway  (US-75),Anna,TX,75409
194 West Jay Road,Monahans,TX,79756
6364 Centennial Boulevard,Nashville,TN,37209
8859 I-40 Service West,Amarillo,TX,79118
"9426 I-20 Service West, West US-84 Service",Sweetwater,TX,79556
710 West 750 North  (UT-315),Willard,UT,84340
Jimmy Burrell Lane,Providence Forge,VA,23140
1408 Berwick Hazleton Highway  (PA-93),Drums,PA,18222
Trans-Canada Highway  (MB-1),Headingley,MB,R4H 1C5
Mountain Road,Hamburg,PA,19526
US-35,Bidwell,OH,45614
3212 Point Mallard Parkway Southeast  (AL-67),Decatur,AL,35603
2096 Atalissa Road,Atalissa,IA,52720
I-55,Matthews,MO,63867
"7434 Bookover Road  (US-50, US-400)",Holcomb,KS,67851
8749 Mesa Point Terrace,San Diego,CA,92154
10639 Baltimore Road Southwest  (OH-158),Millersport,OH,43046
11 Des Moines Avenue,South Hutchinson,KS,67505
"I-77, I-81, US-11",Wytheville,VA,24382
155 Wilson Road,Bentleyville,PA,15314
4466 Union Road,Tifton,GA,31794
1001 Sun Valley Highway  (US-20),Mountain Home,ID,83647
"US-275, NE-64",Valley,NE,68064
625 Carrollton Street  (GA-113),Temple,GA,30179
"TX-44, I-35 Business",Cotulla,TX,78014
2716 East Main Street  (Route 46),Albert Lea,MN,56007
3698 CO-56,Berthoud,CO,80513
I-69,Capac,MI,48014
220th Street  (IA-21),Brooklyn,IA,52211
132 North Oakwood Street  (Route PP),Tomah,WI,54660
1260 East 2nd Street  (US-67),Big Lake,TX,76932
Jones Branch Crossing,Jacksonville,FL,32219
Centerpoint Drive,Suffolk,VA,23434
4757 MO-43,Joplin,MO,64804
527 Hillcrest Drive South  (TX-19),Sulphur Springs,TX,75482
2800 Scottsville Road  (KY-100),Franklin,KY,42134
110 North Haughton Highway  (IL-130),Greenup,IL,62428
6825 LA-1,Boyce,LA,71409
35 West Laraway Road  (Route 74),Joliet,IL,60436
"1645 South State Street  (Spur I-70, US-50, US-89)",Salina,UT,84654
330th Street  (IA-175),Ellsworth,IA,50075
3214 West Trinity Boulevard,Grand Prairie,TX,75050
Pecan Park Road,Jacksonville,FL,32218
1701 Recreation Lane,Avon,OH,44011
2610 Fisher Boulevard,Barstow,CA,92311
South Gary Avenue,Carol Stream,IL,60188
18998 County Road 42  (ON-42),Pointe aux Roches,ON,
808 West Broadway Street  (I-10),Van Horn,TX,79855
2323 Fair Road  (Route 677),Abilene,KS,67410
AZ-95,Lake Havasu City,AZ,86404
1837 Camino del Llano,Belen,NM,87002
South Mountain Road,Tucumcari,NM,88401
3400 Newberry Road,North Platte,NE,69101
485 Truck Inn Way,Fernley,NV,89408
"1042 US-1, FL-5",Ormond Beach,FL,32174
"Great Basin Boulevard  (US-50, US-93)",Ely,NV,89301
"2515 US-29, US-27 Alternate, GA-14",Newnan,GA,30263
4028 North McCarty Street  (US-90 Business),Houston,TX,77013
15860 West Commerce Road,Daleville,IN,47334
"US-283, I-40 Business",Sayre,OK,73662
Fahlsing Road  (IN-101),Woodburn,IN,46797
2236 Faircrest Street Southwest,Canton,OH,44706
3400 Newberry Road,North Platte,NE,69101
OK-100,Gore,OK,74435
West Ashley Road  (MO-5),Boonville,MO,65233
11775 North Ridge Road,Minooka,IL,60447
6208 US-223,Ottawa Lake,MI,49267
1146 Martin Luther King Jr Drive,West Memphis,AR,72301
Joshua Tree Row,Quartzsite,AZ,85346
218 Old Pipers Gap Road  (Route 620),Lambsburg,VA,24351
"4266 US-24, US-231",Remington,IN,47977
26440 Baker Drive,Perrysburg,OH,43551
709 East Chicago Street,Okmulgee,OK,74447
North Jack Tone Road  (Route J5),Ripon,CA,95366
4814 Hacks Cross Road,Olive Branch,MS,38654
1092 Central Freeway East,Wichita Falls,TX,76301
129 Northwest 7th Street,Lindsay,OK,73052
156 US-93,Wells,NV,89835
15976 Whyte Hardee Boulevard  (US-17),Hardeeville,SC,29927
6919 West Sundust Road,Chandler,AZ,85226
1801 North McCue Street,Laramie,WY,82072
Valley Street  (AR-7),Arkadelphia,AR,71923
1013 North Dumas Avenue  (US-287),Dumas,TX,79029
East Kansas Avenue  (NM-128),Jal,NM,88252
Jeff Gordon Boulevard  (Route 275 East),Pittsboro,IN,46167
117 Motel Drive,Saint George,SC,29477
3223 Schoolhouse Road,Middletown,PA,17057
Alliance Gateway Freeway  (TX-170),Fort Worth,TX,76177
County Drive  (US-460),Prince George,VA,23875
1292 North 1750 West,Springville,UT,84663
"I-80, US-30, WY-789",Rawlins,WY,82301
US-80,Greenwood,LA,71033
West Walnut Street  (Route 23),Oglesby,IL,61348
698 Chase Boulevard,Sidney,NE,69162
North Granite Lane,Sioux Falls,SD,57107
7200 County Drive  (US-460),Disputanta,VA,23842
419 Wright Brothers Boulevard West  (Route E70),Cedar Rapids,IA,52404
1151 South Jefferson Avenue  (TN-136),Cookeville,TN,38506
1515 51st Avenue East,Ellenton,FL,34222
West Motel Drive  (I-10 Business),Lordsburg,NM,88045
1045 North Grand Avenue,Mount Pleasant,IA,52641
4136 Loop TX-337,New Braunfels,TX,78130
I-90,Post Falls,ID,83854
175 Vista Drive,Weed,CA,96094
501 Patriot Drive,Dandridge,TN,37725
11301 East Sligh Avenue,Seffner,FL,33584
1876 East Freeway  (I-10 Service East),Baytown,TX,77521
East Pierce Street  (US-183),Luling,TX,78648
1787 Fairland Road,Shelbyville,IN,46176
MO-92,Kearney,MO,64060
Cedar Grove Road  (KY-480),Shepherdsville,KY,40165
South Wilson Road,Sunbury,OH,43074
Sand Pebble Drive,Jackson,TN,38305
2851 Scottsville Road  (KY-100),Franklin,KY,42134
4424 IN-59,Brazil,IN,47834
6600 West Latham Street,Phoenix,AZ,85043
1649 Harrisburg Pike  (US-11),Carlisle,PA,17015
MO-19,New London,MO,63459
1080 Dotterers Road  (PA-2003),Mill Hall,PA,17751
13146 Deshler Road  (OH-18),North Baltimore,OH,45872
"4961 Lamar Avenue  (US-78, TN-4)",Memphis,TN,38118
8484 Alleghany Road  (NY-77),Corfu,NY,14036
2299 Old Jacksboro Highway  (Loop TX-473),Wichita Falls,TX,76301
288 Garden Acres Drive,Fort Worth,TX,76140
Frontage Road  (I-10 Service West),Seguin,TX,78155
1978 NC-48,Pleasant Hill,NC,27866
15929 Willowbrook Road,South Beloit,IL,61080
East Kansas Avenue  (US-56),McPherson,KS,67460
5821 Greyhound Drive,Waterloo,IA,50701
"13703 US-41, South US-441, FL-25",Lake City,FL,32025
3231 Adventureland Drive,Altoona,IA,50009
1020 Dale Evans Drive  (TX-34),Italy,TX,76651
7200 Strawberry Plains Pike,Knoxville,TN,37914
East Cherokee Street  (US-29),Blacksburg,SC,29702
4029 East 181st Avenue  (IN-2),Hebron,IN,46341
2271 Center Road  (OH-45),Austinburg,OH,44010
764 West 2100 South  (UT-201),Salt Lake City,UT,84119
61 1550 West,Brigham City,UT,84302
12882 Fort Campbell Boulevard  (US-41 Alternate),Oak Grove,KY,42262
OK-33,Guthrie,OK,73044
2015 West Ryan Road  (WI-100),Oak Creek,WI,53154
2066 Antonio Street  (FM Route 1905),Anthony,TX,79821
83 North 129th East Avenue,Tulsa,OK,74116
Boykin Drive  (US-287),Memphis,TX,79245
3103 Five Chop Road  (US-301),Orangeburg,SC,29115
US-169,Nowata,OK,74048
1524 East Harlan Drive,Terre Haute,IN,47802
"North Main Street  (US-377, Loop TX-481)",Junction,TX,76849
South 1st Street,Beasley,TX,77417
11568 Courthouse Boulevard,Inver Grove Heights,MN,55077
"US-43, AL-13",Satsuma,AL,36572
7120 Service Road  (I-10 Service West),Orange,TX,77632
"West College Drive  (US-87 Business, WY-212, I-25 Business)",Cheyenne,WY,82007
Hy Point Boulevard,Rolla,MO,65401
5852 Barstow-Bakersfield Highway  (CA-58),Boron,CA,93516
1399 East Main Street  (SC-290),Duncan,SC,29334
4117 US-50,Emporia,KS,66801
"3445 Lamar Avenue  (US-78, TN-4)",Memphis,TN,38118
1626 Bear Creek Pike  (TN-99),Columbia,TN,38401
115 Lexington Drive,Rayne,LA,70578
21400 Southwest 59th Street,Union City,OK,73090
2412 93rd Avenue Southwest  (WA-121),Olympia,WA,98512
6486 Brick Road  (US-31 Business),South Bend,IN,46628
"2301 16th Avenue East  (US-280, GA-30)",Cordele,GA,31015
South Gallatin Street,Jackson,MS,39204
Mountain Pass Boulevard,Anthony,TX,79821
13501 Industrial Drive,Minden,LA,71055
I-20 Service West,Baird,TX,79504
10133 Avon Lake Road  (OH-83),Burbank,OH,44214
12493 Stemley Road  (Route 207),Lincoln,AL,35096
8130 Northwest Boulevard  (IA-130),Davenport,IA,52806
4801 Northeast 122nd Street,Edmond,OK,73013
3293 South Federal Way,Boise,ID,83705
1701 East Freeway  (I-10 Service West),Baytown,TX,77521
4311 Clearwater Road,Saint Cloud,MN,56301
101 North Avenue  (Route 42),Ina,IL,62846
4798 TX-114,Rhome,TX,76078
US-70,Valliant,OK,74764
4391 IN-32,Crawfordsville,IN,47933
15224 South 216th Street  (NE-31),Gretna,NE,68028
"North Broadway Avenue  (US-281, OK-8)",Hinton,OK,73047
East Nettleton Avenue  (AR-463),Jonesboro,AR,72404
Mount Olive Road  (VA-651),Toms Brook,VA,22660
8161 Pembroke Oak Grove Road  (KY-115),Oak Grove,KY,42262
"2224 Hubbard Road  (US-62, OH-7)",Hubbard,OH,44425
US-59,Edna,TX,77957
1451 US-77 Service South,Kingsville,TX,78363
2971 TN-48,Dickson,TN,37055
I-40,Lake Havasu City,AZ,86404
Lee Jackson Highway  (US-11),Greenville,VA,24440
9926 OH-41,Washington Court House,OH,43160
"1900 Harrison Drive  (US-189 Business, I-80 Business)",Evanston,WY,82930
11481 I-35 Service South,Von Ormy,TX,78073
65 Route 28  (Route 28),Clanton,AL,35046
Access Road,Minot,ND,58701
Interstate 45  (I-45 Service South),Houston,TX,77090
Steele Station Road,Steele,AL,35987
11207 IN-10,Demotte,IN,46310
"2764 Ocean Highway  (US-17, GA-25)",Brunswick,GA,31523
2505 East Trail Street,Dodge City,KS,67801
Southwest 170 Avenue,Cunningham,KS,67035
708 US-77,Schulenburg,TX,78956
US-30,Plymouth,IN,46563
1603 Tommy Webb Drive,Meridian,MS,39307
519 Waldron Road,La Vergne,TN,37086
1800 FL-559,Auburndale,FL,33823
8313 West Roosevelt Street,Tolleson,AZ,85353
Rd 3531 Private,Sonora,TX,76950
1200 West Wendover Boulevard,West Wendover,NV,89883
West County Road 127,Odessa,TX,79765
"GA-106, GA-145",Carnesville,GA,30521
11570 East 32nd Street  (MO-FF),Joplin,MO,64804
24279 Rogers Clark Boulevard  (VA-207),Ruther Glen,VA,22546
Ross Avenue,Ross Industrial Park,SK,
3018 South Blackstone Street,Tulare,CA,93274
"2446 US-231, FL-75",Cottondale,FL,32431
188th Street,Pacific Junction,IA,51561
7050 South State Road  (MI-66),Ionia,MI,48846
68 Heather Lane,Perryville,MD,21903
22683 Avenue 18 1/2,Madera,CA,93637
2064 Homestead Road,Bowman,SC,29018
I-40,Marion,NC,28752
6469 South Stemmons Street  (I-35 Service South),Denton,TX,76207
9212 Winterberry Avenue  (F VA-F205),Covington,VA,24426
15184 North Thornton Road  (Route J8),Lodi,CA,95242
Truck Stop Way,Jackson,GA,30233
East Pike Road  (Route 55),Falkville,AL,35622
388 Owen Street,Lubbock,TX,79403
321 Porter Road  (KY-32),Sadieville,KY,40370
West South Avenue  (US-60),Tonkawa,OK,74653
NY-17 K,Newburgh,NY,12550
1011 Beltway Parkway,Laredo,TX,78045
4150 North I-90 Service,Rapid City,SD,57703
762 East Carrie Avenue,Saint Louis,MO,63147
Riverwest Drive,Augusta,GA,30907
4968 North 350 East  (Route 350 East),Whiteland,IN,46184
9900 Avalon Road Northwest,Albuquerque,NM,87121
GA-144,Richmond Hill,GA,31324
57th Street Northwest  (US-85 Business),Williston,ND,58801
1670 AL-69,Cullman,AL,35055
1385 Hillcrest Drive South  (TX-19),Sulphur Springs,TX,75482
5901 Fairfield Road  (US-321),Columbia,SC,29203
"498 West Holme Street  (US-36, KS-383)",Norton,KS,67654
"2356 North Main Street Southeast  (US-62, OH-7)",Hubbard,OH,44425
I-20,Lake,MS,39092
3031 North 32nd Street  (US-69),Muskogee,OK,74401
9582 Charleston Highway  (US-178),Saint George,SC,29477
429 TN-13,Hurricane Mills,TN,37078
4255 FL-326,Ocala,FL,34482
"Ross Clark Circle  (US-431, AL-210)",Dothan,AL,36301
Pocket Road,East Saint Louis,IL,62207
1617 Bass Cross Road,Hogansville,GA,30230
WA-261,Ritzville,WA,99169
Kelly Creek Road,Moody,AL,35004
105 Main Street,Ennis,TX,75119
8475 Newtown Road  (Route 10),Oakwood,IL,61858
West F.W. Marks Drive,Greenfield,IN,46140
18075 Colorado Street,Hebron,IN,46341
7893 Linglestown Road  (PA-39),Harrisburg,PA,17112
9827 FM Route 523,Angleton,TX,77515
7996 FL-60,Bartow,FL,33830
1465 Ripley Street  (IN-51),Lake Station,IN,46405
7538 West Grand River Avenue,Grand Ledge,MI,48837
465 Old Gate Lane,Milford,CT,06460
110 Triport Road,Georgetown,KY,40324
72243 Varner Road,Thousand Palms,CA,92276
Boonesborough Road  (KY-627),Richmond,KY,40475
2008 US-206,Bordentown,NJ,08505
Hickman Road  (US-6),Clive,IA,50325
1029 North Grand Canyon Boulevard,Williams,AZ,86046
"255 US-27, FL-25, FL-80",South Bay,FL,33493
Genesis Road  (TN-298),Crossville,TN,38571
Pilot Road,Fernley,NV,89408
Pendleton Road  (KY-153),Pendleton,KY,40055
"1195 South Anderson Road  (US-21, SC-5)",Rock Hill,SC,29730
805 Jedburg Road,Summerville,SC,29483
"8625 Canyon Drive  (I-27 Service North, US-60 Service East, US-87 Service North)",Amarillo,TX,79110
1795 Country Lodge Road,Fort Mill,SC,29708
1700 IL-127,Greenville,IL,62246
2320 TN-46,Dickson,TN,37055
640 Dixie Lee Highway  (TN-2),Monteagle,TN,37356
1013 Mount Olive Road  (VA-651),Toms Brook,VA,22660
9676 South 20th Street,Oak Creek,WI,53154
701 South Kings Highway  (FL-713),Fort Pierce,FL,34945
2085 Bluff Road  (SC-48),Columbia,SC,29201
"1702 West Market Street  (US-150, IL-9)",Bloomington,IL,61701
8041 Perry Highway  (PA-97),Erie,PA,16509
I-40 Service East,Amarillo,TX,79118
1504 West Colony Road,Ripon,CA,95366
145 KY-770,Corbin,KY,40701
2125 Washington Road  (GA-17),Thomson,GA,30824
Hugh N Clayton Drive  (MS-15),New Albany,MS,38652
11051 Clay Drive,Walton,KY,41094
713 Oakland Circle,Raphine,VA,24472
5706 GA-53,Braselton,GA,30517
90 Truck Stop Road  (NC-2399),Kenly,NC,27542
6830 Franklin Lebanon Road  (OH-123),Franklin,OH,45005
FL-52,San Antonio,FL,33576
Gateway Boulevard West,El Paso,TX,79928
US-93,Henderson,NV,89011
519 Tuscaloosa Road  (MS-50),Columbus,MS,39702
3847 Wine Country Road  (Route 12),Prosser,WA,99350
2205 Wicker Road  (SC-773),Prosperity,SC,29127
Okeechobee Road  (FL-70),Fort Pierce,FL,34945
445 Evansdale Drive,Evansdale,IA,50707
404 East Main Street  (OH-696),Beaverdam,OH,45808
811 West North Pointe Circle,North Salt Lake,UT,84054
South Stone Road  (Route 1064),Snowville,UT,84336
770 Moores Ferry Road  (VA-629),Skippers,VA,23879
779 Martin Luther King Jr Drive  (AR-38),West Memphis,AR,72301
5213 Brecksville Road  (OH-21),Richfield,OH,44286
2159 Rees Street  (LA-328),Breaux Bridge,LA,70517
"924 Murfreesboro Road  (US-231, TN-10)",Lebanon,TN,37090
268 AR-331,Russellville,AR,72802
"1066 US-301, FL-200",Jacksonville,FL,32234
2488 Cedar Creek Road  (ON-97),North Dumfries,ON,
North Elm Street  (LA-157),Haughton,LA,71037
536 Gordonsville Highway  (TN-53),Gordonsville,TN,38563
785 Moore's Ferry Road  (VA-629),Skippers,VA,23879
3115 South Doyle Road,New Haven,IN,46774
West Peace Street  (MS-22),Canton,MS,39046
Paso Robles Highway  (CA-46),Lost Hills,CA,93249
Horizon Boulevard  (NM-605),Milan,NM,87021
North 3rd Street  (AR-219),Ozark,AR,72949
"9463 Route J, Route CS",Poynette,WI,53955
210th Avenue,Percival,IA,51648
74 North Kings Highway  (FL-713),Fort Pierce,FL,34945
I-30 Service East,Rockwall,TX,75032
1738 South Interstate 45 Service Road  (I-45 Service North),Hutchins,TX,75141
22598 South Avenue,Corning,CA,96021
8215 Northwest Boulevard  (IA-130),Davenport,IA,52806
3753 US-285,Balmorhea,TX,79718
2460 South Church Street  (US-231),Murfreesboro,TN,37128
Tippey Ditch Road,Marion,IN,46953
178 Southwell Boulevard,Tifton,GA,31794
9804 Adams Street,Holland,MI,49423
3600 Interchange Road,Columbus,OH,43204
165 Baker Road,Ann Arbor,MI,48103
4178 Brooklake Road Northeast,Salem,OR,97303
1578 Route 210,Saint Johns,FL,32259
I-35 Service South,Cotulla,TX,78014
13887 FM Route 1945,Sinton,TX,78387
MT-47,Hardin,MT,59034
1367 West Main Street  (I-10 Business),Quartzsite,AZ,85346
"1597 North Main Street  (UT-120, Business I-70)",Richfield,UT,84701
Antonio Street  (FM Route 1905),Anthony,TX,79821
903 West 1st Street  (US-60),Hereford,TX,79045
117 US-425,Pine Bluff,AR,71601
300 Well Road,West Monroe,LA,71292
8759 South Lancaster Road  (TX-342),Dallas,TX,75241
1342 Trollingwood Hawfields Road  (NC-1981),Mebane,NC,27302
Crossroads Parkway,Gulfport,MS,39503
2000 East Tehachapi Boulevard,Tehachapi,CA,93561
2887 US-271,Paris,TX,75460
East Idaho Avenue  (US-30 Business),Ontario,OR,97914
Lovell Road  (TN-131),Knoxville,TN,37934
15177 West Commerce Road  (IN-67),Daleville,IN,47334
1600 East Pine Street,Central Point,OR,97502
Carrollton Street  (GA-113),Temple,GA,30179
Walnut Street  (US-23),Circleville,OH,43113
4710 Chain of Rocks Road,Edwardsville,IL,62025
North Foster Road,San Antonio,TX,78244
737 Southeast 89th Street,Oklahoma City,OK,73149
13023 Old US-35,Jeffersonville,OH,43128
"710 North Carol Malone Boulevard  (KY-1, KY-7)",Grayson,KY,41143
298 TVA Road,Jasper,TN,37347
Comfort Lane,Pioneer,TN,37847
2424 East Austin Boulevard  (US-71 Business),Nevada,MO,64772
Plaza Avenue,Alpha,IL,61413
2424 Wadhams Road,Smiths Creek,MI,48074
1093 East Main Street,Chillicothe,OH,45601
827 North Loop Drive,Sullivan,MO,63080
26415 Warns Drive,Perrysburg,OH,43551
Everett Road,Knoxville,TN,37932
Minerva Lane,Kingman,AZ,86401
GA-299,Wildwood,GA,30757
1150 North Canfield Niles Road  (OH-46),Youngstown,OH,44515
Uniroyal Road,Laredo,TX,78045
3986 FL-326,Ocala,FL,34482
8788 North Polk Street,Dallas,TX,75232
3180 Grant Street,Gary,IN,46408
4125 South Loop 1604 East  (Loop TX-1604),San Antonio,TX,78264
745 Peeler Road  (NC-2538),Salisbury,NC,28147
I-5,Aurora,OR,97002
196 US-97,Ellensburg,WA,98926
Baltimore Pike Northeast  (MD-144),Cumberland,MD,21502
6203 County Road B,Menomonie,WI,54751
400 South Morgan Road,Oklahoma City,OK,73128
"4366 Skyland Boulevard East  (US-11, AL-7)",Tuscaloosa,AL,35405
907 Knox Road,Mc Leansville,NC,27301
Jones Loop Road  (Route 768),Punta Gorda,FL,33950
2970 FL-60,Okeechobee,FL,34972
1408 TN-96,Fairview,TN,37062
US-69 Business,Eufaula,OK,74432
2601 Granger Drive,Ottawa,KS,66067
802 West Pima Street  (I-8 Business),Gila Bend,AZ,85337
222 Patton Street,Houston,TX,77009
Monroe Avenue,Norfolk,NE,68701
6455 Old Salem Road Northeast,Albany,OR,97321
"708 North Main Street  (US-50, US-287)",Lamar,CO,81052
2597 North Front Street  (TX-18),Fort Stockton,TX,79735
"13019 Walton Verona Road  (KY-14, KY-16)",Walton,KY,41094
Old Dobbins Bridge Road,Fair Play,SC,29643
951 Work Street,Salinas,CA,93901
31658 Castaic Road,Castaic,CA,91384
3414 North McCarty Street  (US-90 Business),Houston,TX,77013
1198 East Tehachapi Boulevard,Tehachapi,CA,93561
343 North 30th Road,La Salle,IL,61301
Mill Branch Road,Latta,SC,29565
7894 North Michigan Avenue  (Old US-421),Saint Paul,IN,47272
1165 Harrisburg Pike  (US-11),Carlisle,PA,17013
Southeast Mustang Drive  (Loop Route 1910),Andrews,TX,79714
Burr Street,Gary,IN,46406
2007 West Lucas Street  (US-52),Florence,SC,29501
6166 North Scenic Highway  (US-52),Bastian,VA,24314
7720 Stanton Road  (TN-222),Stanton,TN,38069
Road 8  (Route 8),Dunnigan,CA,95937
Hillside Avenue,Pittston,PA,18640
428 East Western Avenue  (KY-84),Sonora,KY,42776
11801 Dick Jeter Road,North Little Rock,AR,72117
43 US-87,Comfort,TX,78013
1703 Noble Avenue,Mobile,AL,36612
10800 US-183,Buda,TX,78610
6141 US-127,Eaton,OH,45320
10020 Avon Lake Road  (OH-83),Burbank,OH,44214
Garnet Avenue,Palm Springs,CA,92262
North 99th Avenue,Tolleson,AZ,85353
Fitz Henry Road  (PA-3031),Smithton,PA,15479
205 Waller Avenue  (FM Route 359),Brookshire,TX,77423
2280 Etchepare Drive,Cheyenne,WY,82007
24201 OK-49,Lawton,OK,73507
1552 South Miller Road,Buckeye,AZ,85326
Madison Avenue,Aurora,NE,68818
382 Doremus Avenue,Newark,NJ,07105
11721 Southwest 135th Street  (Route 484),Ocala,FL,34473
16502 IN-63,Covington,IN,47932
East Craig Road  (NV-573),North Las Vegas,NV,89030
SC-200,Blackstock,SC,29014
1283 Rock Barn Road Northeast,Conover,NC,28613
3301 East Andy Devine Avenue  (AZ-66),Kingman,AZ,86401
20 FM Route 707,Merkel,TX,79536
113 Will Garrett Road,Toomsuba,MS,39364
49 Carl Cannon Boulevard,Jasper,AL,35501
4665 South Charleston Pike  (OH-41),Springfield,OH,45502
East Frontage Road  (I-10 Service East),Van Horn,TX,79855
Freeman Parkway,Beloit,WI,53511
7994 Indianapolis Boulevard  (US-41),Highland,IN,46322
"901 Bankhead Highway West  (US-78, AL-4, AL-5)",Birmingham,AL,35204
3708 Crabtree Road  (NC-209),Waynesville,NC,28785
1518 North Main Street  (US-17 Alternate),Summerville,SC,29486
TX-158,Midland,TX,79706
1698 West Thompson Road,Indianapolis,IN,46217
3475 East Washington Road  (MI-81),Saginaw,MI,48601
1st Avenue Northwest  (ND-16),Beach,ND,58621
3236 39th Street South,Fargo,ND,58104
West Sunset Avenue  (US-412),Springdale,AR,72762
4322 1st Avenue  (WV-25),Nitro,WV,25143
1642 West 1200 South  (UT-39),Ogden,UT,84404
6879 Theodore Dawes Road  (Route 30),Theodore,AL,36582
142 Carbondale Road Southwest,Dalton,GA,30721
FL-44,Wildwood,FL,34785
"2111 US-41, GA-3",Calhoun,GA,30701
2223 3 Mile Lane  (Route 57),Tuscumbia,AL,35674
Missouri Bottom Road,Bridgeton,MO,63044
Barnesville Jackson Road  (GA-36),Jackson,GA,30233
Lane Street,Kannapolis,NC,28083
4465 King Street  (FL-520),Cocoa,FL,32926
Plaza Drive,Gustine,CA,95322
5189 North Cliff Avenue  (SD-115),Sioux Falls,SD,57104
Smokey Point Boulevard,Arlington,WA,98223
Linglestown Road  (PA-39),Harrisburg,PA,17112
1510 North McCue Street,Laramie,WY,82072
8701 US-395,Hesperia,CA,92344
1052 Duanesburg Road  (NY-7),Schenectady,NY,12306
I-37 Service North,George West,TX,78022
610 4th Street  (US-82 Service West),Lubbock,TX,79401
1747 Brookside Boulevard  (MB-90),Winnipeg,MB,R2R 2Y1
North Converse Road  (CO-79),Bennett,CO,80102
1058 Deep Springs Road,Dandridge,TN,37725
116 Pit Row,Baxter,TN,38544
150 Old Allatoona Road Southeast,Cartersville,GA,30121
269 Northwest 24th Street,Newcastle,OK,73065
US-385,Vega,TX,79092
Hagman Road,Toledo,OH,43612
804 John Long Road,Oakland,OR,97462
2589 Commerce Parkway,Barstow,CA,92311
IN-13,Pendleton,IN,46064
615 Edge Road,Villa Rica,GA,30180
"7021 South IN-66, IN-66",Leavenworth,IN,47137
3479 Madison Highway  (GA-31),Valdosta,GA,31601
Tyson Road  (Route 6),Hope Hull,AL,36043
1308 Bucksnort Road,Jackson,GA,30233
1804 Princeton Kenly Road  (NC-2399),Kenly,NC,27542
South Douglas Highway  (WY-59),Gillette,WY,82718
7256 East Front Street,Kansas City,MO,64120
Old Forge Road,Jonestown,PA,17038
"I-90, US-14",Box Elder,SD,57719
16211 Van Dam Road,South Holland,IL,60473
2611 Bouldercrest Road,Atlanta,GA,30316
"2188 Philpott Road  (US-58, US-360)",South Boston,VA,24592
1187 70th Avenue,Roberts,WI,54023
North Loop TX-338,Odessa,TX,79761
16751 East 32nd Avenue,Aurora,CO,80011
1 Center Drive,North East,MD,21901
890 South Oak Street  (FM Route 314),Van,TX,75790
810 West Edwardsville Road  (IL-162),Troy,IL,62294
3935 Statesville Avenue  (Route 2691),Charlotte,NC,28206
2306 Smithtown Road  (Route 73),Morgantown,WV,26508
40 Street Southeast,Calgary,AB,T2Z 4M8
4687 Barlow Trail Southeast,Calgary,AB,T2B 3B5
East Margaret Drive,Terre Haute,IN,47803
2700 Chamber Drive,Monroe,NC,28110
Southwest Railroad Avenue  (US-51 Business),Hammond,LA,70403
"5029 Lamar Avenue  (US-78, TN-4)",Memphis,TN,38118
East Lee Highway,Wytheville,VA,24382
"2169 US-319, US-441, GA-31",Dublin,GA,31021
West College Street  (NC-24 Business),Warsaw,NC,28398
Jimmy Kerr Road  (NC-1928),Haw River,NC,27258
6093 Epps Mill Road,Christiana,TN,37037
4298 South Avenue 22nd East,Newton,IA,50208
101 Eastlawn Road  (KY-260),Hanson,KY,42413
West Indian School Road,Tonopah,AZ,85354
"Eatonton Highway  (US-129, US-441, GA-24)",Madison,GA,30650
AR-108,Texarkana,AR,71854
709 South Morgan Road,Oklahoma City,OK,73128
Avenue 10 South,Lethbridge,AB,
"South Julia Street  (US-425, LA-137)",Rayville,LA,71269
Buttermilk Road  (Route 85),Cottondale,AL,35453
12815 State Park Highway  (FM Route 14),Tyler,TX,75706
"2189 US-6, US-50",Grand Junction,CO,81505
8091 Bagley Avenue  (Route 46),Northfield,MN,55057
2717 East Bankhead Drive,Weatherford,TX,76087
14514 East State Highway N,Eagleville,MO,64442
1609 Nadeau Road,Monroe,MI,48162
3312 127th Street,Blue Island,IL,60406
800 Baker Road,Dexter,MI,48130
North Dixie Highway  (MI-50),Monroe,MI,48162
Hawks Bridge Road  (NJ-140),Penns Grove,NJ,08069
Truck Access Road,Winslow,AZ,86047
Zachary Ann Lane,Clear Brook,VA,22624
"Main Street  (US-56, US-64, US-412)",Boise City,OK,73933
1217 Trollingwood Hawfields Road  (NC-1981),Mebane,NC,27302
"1228 South Boston Road  (US-58, US-360)",Danville,VA,24540
2555 West Amador Avenue  (NM-342),Las Cruces,NM,88005
11957 Douglas Avenue,Urbandale,IA,50323
921 Hyatt Street  (SC-105),Gaffney,SC,29341
2221 Camp Swatara Road  (PA-645),Myerstown,PA,17067
"Main Street  (UT-28, UT-41)",Nephi,UT,84648
Custer City Road,Clinton,OK,73601
7124 Okeechobee Road  (FL-70),Fort Pierce,FL,34945
"130 West Trinity Lane  (US-431, TN-65)",Nashville,TN,37207
3460 Madison Highway  (GA-31),Valdosta,GA,31601
270 Laurel Path Road,Sutton,WV,26601
16806 Avenue 118 Northwest,Jasper Place,AB,
