Location ID,Name,Address,City,State,Zip Code,Latitude,Longitude,Place_Name,Is Found?,Trimble MAPS Street Address,Trimble MAPS City,Trimble MAPS State,Trimble MAPS Postal Code,Trimble MAPS Latitude,Trimble MAPS Longitude,Trimble MAPS Confidence Level,Trimble MAPS Geocoding Errors,Distance Between Original and Trimble MAPS,,Location_ID,Place_Name,Is_Found?,
AB171     ,PETRO CANADA                  ,5602 54TH AVE                 ,BONNYVILLE     ,AB,T9N2N ,54.2714,-110.759, @Petro-Canada, True,,Bonnyville,AB,T9N 0B9,54.271611,-110.758108,1 - Exact,,0.1,,AB171     , NOT FOUND, False,
AB174     ,PETRO CANADA                  ,701 12TH AVE                  ,SLAVE LAKE     ,AB,T0G2A ,55.2917,-114.7603, NOT FOUND, False,,Slave Lake,AB,T0G 2A2,55.292177,-114.760717,3 - Uncertain,Multiple best matches; Input does not include a street name prefix/suffix but match does,0,,AB174     , NOT FOUND, False,
AB178     ,PETRO CANADA                  ,5904 44TH ST                  ,LLOYDMINSTER   ,AB,T9V1G ,53.2786,-110.0308, @Petro-Canada, True,,Lloydminster,AB,T9V 1V7,53.278388,-110.030817,1 - Exact,,0.1,,AB178     , NOT FOUND, False,
AB184     ,STRATHMORE HUSKY TC           ,436 RIDGE RD                  ,STRATHMORE     ,AB,T1P1  ,51.0387,-113.3981, NOT FOUND, False,,Strathmore,AB,T1P 1B3,51.039245,-113.398531,1 - Exact,,0,,AB184     , NOT FOUND, False,
AB186     ,VERMILION CL                  ,4403 52 ST                    ,VERMILION      ,AB,T9X1  ,53.3463,-110.8592, NOT FOUND, False,,Vermilion,AB,T9X 1J8,53.347196,-110.858693,1 - Exact,,0.1,,AB186     , NOT FOUND, False,
AB188     ,PETRO CANADA                  ,920 MEMORIAL DR               ,FT. MCMURRAY   ,AB,T9K0  ,56.7664,-111.4213, NOT FOUND, False,,Fort McMurray,AB,T9K 0N9,56.76892,-111.422739,1 - Exact,,0.2,,AB188     , NOT FOUND, False,
AB189     ,PETRO CANADA                  ,26230 TOWNSHIP RD 531A        ,EDMONTON       ,AB,T7X3G ,53.5652,-113.7615, @Petro-Canada, True,,Leduc,AB,,53.250645,-113.606739,3 - Uncertain,Multiple best matches; Input street name differs slightly from match; Input street type differs from match,35.3,,AB189     , NOT FOUND, False,
AB192     ,PETRO CANADA                  ,70 FREEPORT BLVD NE           ,CALGARY        ,AB,T3J5J ,51.1516,-114.0073, @Petro-Canada, True,,Calgary,AB,T3J 4X9,51.150933,-114.00912,1 - Exact,,0.6,,AB192     , NOT FOUND, False,
AB193     ,PETRO CANADA                  ,109 FIRST AVE S.E.            ,FOX CREEK      ,AB,T0H1P ,54.3929,-116.7995, NOT FOUND, False,,Fox Creek,AB,T0H 1P0,54.392989,-116.799265,1 - Exact,Input does not include a street name prefix/suffix but match does,0,,AB193     , NOT FOUND, False,
AB194     ,PETRO CANADA                  ,10560 100 STREET              ,WESTLOCK       ,AB,T7P2C ,54.153,-113.8448, NOT FOUND, False,,Westlock,AB,T7P 2C6,54.152185,-113.844469,1 - Exact,,0.1,,AB194     , NOT FOUND, False,
