Location ID,Name,Address,City,State,Zip Code,Latitude,Longitude,Pricing Provider,Network ID,Trimble_POI_Name,Contains,Trimble_StreetAddress,Trimble_City,Trimble_MAPS_State,Trimble_Zipcode
AR772     ,LOVES 457                     ,11700 I-30                    ,LITTLE ROCK    ,AR,72210,34.6569,-92.4136,COMDATA   ,Loves                                   , @Love's #457, True,12424 Otter Creek Road,Little Rock,AR,72210
AR786     ,PILOT 118                     ,I-30 EXIT 121                 ,BENTON         ,AR,72018,34.6083,-92.533,COMDATA   ,Pilot                                   , @Pilot Travel Center #118, True,8895 Alcoa Road,Benton,AR,72019
AZ012     ,TA_KINGMAN 094                ,946 W BEALE STREET            ,KINGMAN        ,AZ,86401,35.1902,-114.0709,COMDATA   ,TA                                      , @TA-Kingman #94, True,915 West Beale Street  (US-93),Kingman,AZ,86401
AZ033     ,PILOT LICENSEE 1179           ,330 N MARIPOSA RD             ,NOGALES        ,AZ,85621,31.3387,-110.9663,COMDATA   ,Pilot                                   , NOT FOUND, False,370 North Mariposa Road  (AZ-189),Nogales,AZ,85621
AZ043     ,PILOT EXPRESS 1178            ,9522 S. RITA RD.              ,TUCSON         ,AZ,85747,32.0842,-110.803,COMDATA   ,Pilot                                   , @Pilot Express #1178, True,9255 South Rita Road,Tucson,AZ,85747
AZ051     ,PILOT 1175                    ,14905 CORDES LAKE RD          ,MAYER          ,AZ,86333,34.3273,-112.1173,COMDATA   ,Pilot                                   , @Shell Travel Center #323, True,14814 Stagecoach Trail,Mayer,AZ,86333
AZ054     ,PILOT LICENSEE 1193           ,18183 S HWY 93                ,WIKIEUP        ,AZ,85360,34.699,-113.6102,COMDATA   ,Pilot                                   , @Shell #10047674, True,18171 US-93,Wikieup,AZ,85360
AZ056     ,PILOT LICENSEE 1194           ,3444 S. 40TH ST.              ,PHOENIX        ,AZ,85040,33.4152,-111.9961,COMDATA   ,Pilot                                   , NOT FOUND, False,3440 South 40th Street,Phoenix,AZ,85040
AZ061     ,TA_TONOPAH 225                ,1010 N.339TH AVE.             ,TONOPAH        ,AZ,85354,33.4582,-112.7823,COMDATA   ,TA                                      , @TA-Tonopah #225, True,1448 North 339th Avenue,Tonopah,AZ,85354
AZ065     ,TA_WILLCOX 226                ,1501 N. FORT GRANT RD         ,WILLCOX        ,AZ,85643,32.2684,-109.8482,COMDATA   ,TA                                      , @TA-Willcox #226, True,1501 Fort Grant Road,Willcox,AZ,85643
AZ068     ,LOVES 328                     ,7001 W. SUNDUST ROAD          ,CHANDLER       ,AZ,85226,33.2795,-111.9623,COMDATA   ,Loves                                   , @Love's #328, True,1522 South Nelson Drive,Chandler,AZ,85226
AZ099     ,PILOT DEALER 1185             ,4031  FLEET STREET            ,DESERT SPRINGS ,AZ,86423,36.8978,-113.9086,COMDATA   ,Pilot                                   , NOT FOUND, False,4057 Fleet Street,Littlefield,AZ,86432
AZ116     ,PILOT 1180                    ,41112 WEST INDIAN SCHOOL ROAD ,TONOPAH        ,AZ,85354,33.4944,-112.9378,COMDATA   ,Pilot                                   , @Shell #10007048, True,North 411th Avenue,Tonopah,AZ,85354
AZ141     ,PILOT 1212 MR ZIP             ,48286 VICKSBURG ROAD          ,SALOME         ,AZ,85348,33.6338,-113.7688,COMDATA   ,Pilot                                   , @Zip Travel Center, True,48286 Vicksburg Road,Salome,AZ,85348
AZ158     ,PETRO_KINGMAN 315             ,I-40 & BLAKE RANCH RD         ,KINGMAN        ,AZ,86401,35.1762,-113.786,COMDATA   ,TA                                      , @Petro Fuel #315, True,"I-40, US-93",Kingman,AZ,86401
